NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
6674;PRIMERA;AMIGOS DEL REAL ASTILLERO; AVENIDA DE ESPAÑA Nº 22 BAJO, CP: 39610, ASTILLERO (EL), CANTABRIA;129;12/11/2018;
6675;PRIMERA;CÁNTABRA DE VÍCTIMAS DEL TERRORISMO ( ASCANVITE ); CALLE REAL  Nº 6 3 D, CP: 39200, MATAMOROSA, CANTABRIA;612;12/11/2018;
6676;PRIMERA;MAXWELL & SMARTS; CALLE ALTA Nº 113 BAJO, CP: 39008, SANTANDER, CANTABRIA;125;16/11/2018;
6677;PRIMERA;CULTURAL LA ORTIGA DE SANTANDER; CALLE TANTÍN Nº 33 6º A, CP: 39001, SANTANDER, CANTABRIA;122;19/11/2018;
6678;PRIMERA;GRUPO DE TEATRO TIERRA BOHEMIA; BARRIO CASTANEDO 70A Nº 14, CP: 39690, VILLANUEVA, CANTABRIA;126;19/11/2018;
6679;PRIMERA;CANTABRURI; CALLE ALCALDE ARCHE Nº 2 7º A, CP: 39600, MURIEDAS, CANTABRIA;127;21/11/2018;
6680;PRIMERA;LA ISLA LEBAR; CALLE AMANCIO RUIZ CAPILLAS  Nº 10 2 B, CP: 39300, TORRELAVEGA, CANTABRIA;224;22/11/2018;
6681;PRIMERA;DE OSTOMIZADOS DE CANTABRIA; CALLE VALDENOJA Nº 36 6º B, CP: 39012, SANTANDER, CANTABRIA;621;27/11/2018;
6682;PRIMERA;CULTURAL RECREATIVA SANTA LUCÍA DE BERNALES; BARRIO BERNALES Nº 29, CP: 39849, BERNALES, CANTABRIA;922;30/11/2018;
6683;PRIMERA;DULZAINEROS ENTRAMBASTIERRAS; AVENIDA DE LOS CASTROS Nº 143 5 D, CP: 39012, SANTANDER, CANTABRIA;125;04/12/2018;
6684;PRIMERA;DE MUJERES ARQUIA; CALLE MIRALMAR Nº 7 PORTAL 6 BAJO F, CP: 39033, SANTANDER, CANTABRIA;224;04/12/2018;
6685;PRIMERA;EL ULTIMO VIAJERO; CALLE CUBA DE ARRIBA Nº 18, CP: 39340, SUANCES, CANTABRIA;;10/12/2018;
